"OBJECTID" "x" "y" "coarse" "clay" "silt" "sand" "pH" "OC" "N" "P" "K" "CEC" "pH_class"
130 605017.9797 5512044.042 7 17 31 52 7.15 11 1.1 42.7 254.1 11.8 "neutral"
131 600405.026 5557980.224 13 21 72 7 6.34 14.7 1.6 22.8 177 12.8 "acidic"
132 598565.705 5545956.476 9 13 48 39 6.91 14.6 1.6 23.8 151.1 11.2 "neutral"
133 596031.4602 5585919.506 4 44 47 9 6.45 21.7 2.4000001 28.8 431.6 20.3 "acidic"
134 594246.2201 5569894.877 29 30 66 4 7.53 16.9 1.7 27.7 233.2 20.5 "alkaline"
135 594676.0884 5537906.559 8 25 25 50 7.71 14.8 1.6 23.2 524.4 16.1 "alkaline"
136 594967.4288 5515910.634 3 17 27 56 6.18 21 2.2 11.3 56.7 12.9 "acidic"
137 590890.698 5521854.605 4 32 27 42 8.02 12.2 1.3 53.3 421.6 12.3 "alkaline"
138 591128.1532 5503859.743 11 39 49 12 8.05 17.7 1.4 40 643 18.9 "alkaline"
139 589081.3006 5507834.644 7 20 32 48 7.23 6.3 0.7 25.1 178.2 10.4 "neutral"
140 586544.6581 5547796.948 11 21 74 5 6.85 10.2 1.3 41.6 259.1 12.5 "neutral"
141 583967.1532 5591741.844 5 33 59 8 7.62 32.9 3.4000001 32.2 349.4 34.4 "alkaline"
142 584918.3297 5519777.743 4 36 60 5 7.93 17.5 1.8 65.7 585.7 19.5 "alkaline"
143 582760.6807 5531748.75 11 29 63 8 8.14 12.9 1.5 38.9 355.1 19.8 "alkaline"
144 580709.7085 5535722.041 17 25 72 3 7.9 13.1 1.5 20.3 239.5 19.2 "alkaline"
145 577029.6942 5511675.142 11 22 64 14 7.12 11.5 1.3 51.4 196.2 14.2 "neutral"
146 572551.0372 5547610.931 27 24 62 15 6.9 38 3 35.7 356.5 26 "neutral"
147 570044.2766 5585570.921 10 12 19 69 5.85 17.2 1.5 18.2 112.3 8 "acidic"
148 570267.7035 5567576.052 11 13 42 45 6.61 9.6 1.1 29 143.5 6 "neutral"
149 569275.1564 5493572.385 4 26 72 2 7.79 12.4 1.5 36.8 196.8 14.6 "alkaline"
150 566877.0154 5523538.024 44 38 52 10 8.12 20.1 2 70.1 534 26 "alkaline"
151 567113.1337 5505545.153 7 36 59 5 7.09 21.6 2.7 22 245.4 25.1 "neutral"
152 564420.8038 5557500.369 14 16 47 37 7.39 24.2 2.3 17.9 279.1 14.2 "neutral"
153 562717.8773 5535478.24 4 42 54 4 6.85 12.5 1.4 29.6 322 24.5 "neutral"
154 558799.2177 5529428.235 12 7 14 79 7.75 8.4 0.8 30 65.8 8.4 "alkaline"
155 554079.1076 5583354.972 5 18 42 40 5.36 24.6 2.4000001 19.2 247.2 5.4 "acidic"
156 554991.9332 5515378.91 14 27 66 8 7.91 10.7 1.4 34.7 194.4 18.5 "alkaline"
157 552857.5573 5525351.401 8 17 78 5 7.06 12.4 1.5 68.3 274.2 14.5 "neutral"
158 553024.2654 5513351.149 23 33 63 4 7.45 16.6 1.7 37 365.6 21.2 "neutral"
159 519172.2855 5502900.858 5 14 40 45 5.96 14.9 1.4 56.3 245.4 7.6 "acidic"
160 510618.5148 5542815.117 10 15 27 58 6.31 14 1.4 48.1 248 8 "acidic"
161 508615.2984 5544746.149 16 14 25 61 5.82 8.7 1 44.9 142.5 8.5 "acidic"
162 508892.6814 5526799.228 3 17 67 15 6.62 8.4 1.1 22.6 107.8 10.4 "neutral"
163 718600.3332 5545446.43 13 12 55 33 6.71 17.2 1.8 42.6 144.8 8.7 "neutral"
164 712460.6419 5553452.41 17 21 41 38 5.89 25 2.0999999 70 208.3 9.3 "acidic"
165 710165.2149 5575427.106 36 18 53 29 7.19 17.1 1.6 41 85.9 16 "neutral"
166 698377.8582 5559269.983 20 16 33 51 5.18 30.5 2.4000001 11.4 48.7 7.3 "acidic"
167 690564.385 5545167.121 18 28 36 36 6.07 25.4 2.5999999 10.6 88.5 17.5 "acidic"
168 686724.0572 5533113.815 7 14 20 66 6.06 10.4 1.1 0 62.2 8.3 "acidic"
169 678247.523 5569007.824 6 17 40 43 6.31 30.8 2.8 0 151.6 12.9 "acidic"
170 676698.7783 5534983.697 10 28 52 21 5.13 27.8 2.8 0 91.6 14.1 "acidic"
171 674831.1076 5524958.252 34 38 46 16 7.74 43.2 3.9000001 143.2 652.7 35.4 "alkaline"
172 670433.2259 5554906.327 6 38 49 13 7.07 29.7 2.9000001 45 475.5 25 "neutral"
173 668727.2518 5532877.794 19 27 57 16 7.65 29.4 2.8 108.5 406.7 24.3 "alkaline"
174 664330.0073 5562824.705 9 19 70 11 6.13 13.5 1.4 41.2 201 12.6 "acidic"
175 663096.3112 5504801.231 2 30 58 12 6.44 20.9 2.0999999 13.4 82.7 17.9 "acidic"
176 656650.9487 5538720.601 19 37 51 11 7.6 18.9 1.9 19 271.3 23.1 "alkaline"
177 654332.2778 5562693.32 5 14 41 45 6.86 15.4 1.5 35.5 116.4 12.1 "neutral"
178 654489.6433 5550694.445 33 41 49 9 7.39 38.7 3.7 58.9 943 37.3 "neutral"
179 654811.649 5526697.6 12 40 45 15 7.78 36.6 3.2 71.6 747.8 32 "alkaline"
180 655043.7637 5508700.305 8 33 30 38 7.95 15.3 1.8 34 295.9 17.6 "alkaline"
181 648280.5135 5566614.546 18 47 46 7 7.49 32 3.0999999 64.1 609.8 29.9 "neutral"
182 644521.5473 5548565.238 47 59 36 5 5.91 48.5 4.8000002 0 405.3 30.5 "acidic"
183 640709.2233 5534517.185 12 19 29 52 7.46 19.1 2 22.2 155.6 14.7 "neutral"
184 638841.6198 5524487.559 13 20 16 64 6.83 22.8 2.0999999 27 99 23.8 "neutral"
185 636733.6071 5532460.989 21 68 23 9 6.35 61.2 6.0999999 12 150.9 39 "acidic"
186 634925.8952 5518439.974 6 15 37 48 6.38 9.5 1 19.6 179.3 9.7 "acidic"
